,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,2998,3843,2148,3187,2051,2845.4
1,ProductCD,2110,2200,1943,2221,1800,2054.8
2,card1,38383,39610,29715,38642,29018,35073.6
3,card2,15960,15525,13098,16390,11268,14448.2
4,card3,2519,2356,1560,2484,1738,2131.4
5,card4,2016,2161,1861,2134,1739,1982.2
6,card5,12522,13768,10696,13674,10018,12135.6
7,card6,107,103,155,103,22,98.0
8,addr1,5529,6143,3299,6197,3809,4995.4
9,addr2,320,444,305,166,286,304.2
10,dist1,4731,4688,3456,4440,3479,4158.8
11,P_emaildomain,19910,20944,16617,21269,16277,19003.4
12,R_emaildomain,1462,1591,1262,1524,1197,1407.2
13,C1,16959,16176,12890,15822,12834,14936.2
14,C2,16707,17155,12690,16328,11765,14929.0
15,C4,993,1376,1116,1387,1044,1183.2
16,C5,2436,2541,1971,2387,1481,2163.2
17,C6,15012,15766,10394,14735,10451,13271.6
18,C7,869,742,659,643,576,697.8
19,C8,1339,1201,1171,1298,990,1199.8
20,C9,3311,3312,3112,3563,3168,3293.2
21,C10,1941,2035,1535,1819,1523,1770.6
22,C11,16415,17130,11509,16219,11883,14631.2
23,C12,1752,1801,1392,1561,1205,1542.2
24,C13,16993,17052,14172,16176,14134,15705.4
25,C14,5181,4957,4156,5084,4167,4709.0
26,D1,5713,6509,4748,4685,4001,5131.2
27,D2,50436,51659,37251,50717,35995,45211.6
28,D3,20560,23224,16323,22231,15001,19467.8
29,D4,14275,13793,10953,15002,10071,12818.8
30,D5,19279,20452,14836,19302,13728,17519.4
31,D6,4055,4017,3009,4043,3035,3631.8
32,D8,13373,16287,11799,15089,11631,13635.8
33,D9,5887,6556,4540,5775,4521,5455.8
34,D10,7271,6207,6142,7215,5765,6520.0
35,D11,12204,12393,9569,11296,9296,10951.6
36,D12,3351,3516,2282,3185,2381,2943.0
37,D13,4246,4442,3192,3907,3128,3783.0
38,D14,5825,6643,4930,5885,4516,5559.8
39,D15,19973,21354,14933,20250,15182,18338.4
40,M2,896,789,812,692,746,787.0
41,M3,538,419,459,393,418,445.4
42,M4,2645,2578,1779,2341,1877,2244.0
43,M5,2427,2448,1784,2006,1777,2088.4
44,M6,1960,1982,1486,1925,1398,1750.2
45,M7,2600,2669,2505,2754,2408,2587.2
46,M8,1592,1571,1475,1849,1487,1594.8
47,M9,1146,1116,965,1167,969,1072.6
48,V3,8497,8817,5839,8031,5544,7345.6
49,V4,3829,3609,2676,3678,2256,3209.6
50,V5,4960,5878,3596,3877,3524,4367.0
51,V6,4020,4210,2916,4148,2364,3531.6
52,V7,4822,5199,3741,4873,3155,4358.0
53,V8,2057,2111,1501,1873,1087,1725.8
54,V9,2701,2302,1944,2488,1516,2190.2
55,V10,1022,668,662,591,574,703.4
56,V11,2037,2037,1117,1702,1489,1676.4
57,V12,1533,2116,1386,1753,1323,1622.2
58,V13,2544,2979,2028,2682,1789,2404.4
59,V17,563,757,488,563,436,561.4
60,V19,1542,1532,1274,1607,1414,1473.8
61,V20,3014,3450,2658,3013,2396,2906.2
62,V29,780,1058,668,966,623,819.0
63,V30,1773,2077,1462,1912,1415,1727.8
64,V33,45,151,71,90,56,82.6
65,V34,237,408,289,317,270,304.2
66,V35,4092,4358,2827,4030,2635,3588.4
67,V36,4827,4489,3794,5069,3749,4385.6
68,V37,6167,6611,4898,6107,4571,5670.8
69,V38,7386,7578,5637,7085,5409,6619.0
70,V40,1754,1784,1541,1841,1463,1676.6
71,V44,5005,5154,3760,5182,3733,4566.8
72,V45,6309,6071,4988,6384,4572,5664.8
73,V46,1933,2050,1475,2176,1369,1800.6
74,V47,3250,3297,2380,3492,2443,2972.4
75,V48,1383,1159,759,1355,871,1105.4
76,V49,2782,2567,1693,2558,1877,2295.4
77,V51,448,446,394,637,391,463.2
78,V52,923,1013,738,983,708,873.0
79,V53,2125,2259,1832,2129,1457,1960.4
80,V54,3453,3296,2544,3267,2534,3018.8
81,V56,6109,6382,4467,5973,4145,5415.2
82,V58,905,972,700,838,705,824.0
83,V59,523,531,466,622,382,504.8
84,V60,885,829,727,964,664,813.8
85,V61,1966,2124,1502,2048,1408,1809.6
86,V62,3915,3738,2846,4036,2995,3506.0
87,V63,326,405,295,352,164,308.4
88,V64,976,992,772,889,709,867.6
89,V69,996,1086,683,1018,773,911.2
90,V70,1727,1931,1277,1737,1336,1601.6
91,V71,155,203,148,158,120,156.8
92,V72,245,407,209,241,164,253.2
93,V73,367,484,334,456,302,388.6
94,V74,747,793,596,744,585,693.0
95,V75,2351,2822,2201,2469,1973,2363.2
96,V76,3495,3610,2766,3511,2503,3177.0
97,V78,7590,8127,5977,7146,5759,6919.8
98,V80,904,1106,802,889,751,890.4
99,V81,1512,1687,1225,1458,1087,1393.8
100,V82,2203,2422,1763,2124,1725,2047.4
101,V83,4716,4866,3618,4674,3639,4302.6
102,V84,543,513,384,585,389,482.8
103,V85,1397,1270,969,1107,796,1107.8
104,V87,5935,6430,4774,6077,4741,5591.4
105,V90,1561,1765,1144,1601,1366,1487.4
106,V91,2381,2912,1775,2464,1928,2292.0
107,V92,307,463,307,451,248,355.2
108,V93,626,666,402,654,477,565.0
109,V94,6,9,5,4,3,5.4
110,V95,1911,2004,1428,1841,1225,1681.8
111,V96,3273,3334,2346,3038,2020,2802.2
112,V97,2439,2644,1931,2511,1741,2253.2
113,V99,3147,3504,2707,3148,1906,2882.4
114,V100,1835,1968,1577,1767,1156,1660.6
115,V126,2787,2778,2106,2194,1917,2356.4
116,V127,3163,3358,2421,2956,1906,2760.8
117,V128,2514,2468,2055,2613,1824,2294.8
118,V130,3439,3782,2603,3286,2091,3040.2
119,V131,3133,3187,2324,2694,1699,2607.4
120,V138,212,287,216,235,278,245.6
121,V139,1123,1567,1132,1529,1174,1305.0
122,V140,900,1325,967,1172,858,1044.4
123,V143,1166,1824,1375,1878,1327,1514.0
124,V145,706,936,684,1005,678,801.8
125,V146,301,422,243,370,236,314.4
126,V147,362,511,293,531,326,404.6
127,V149,492,545,461,554,457,501.8
128,V150,940,1237,881,1292,843,1038.6
129,V151,569,783,585,709,575,644.2
130,V152,778,1000,742,1046,727,858.6
131,V154,249,238,139,224,157,201.4
132,V156,356,484,389,600,312,428.2
133,V158,571,862,514,708,472,625.4
134,V159,793,993,674,1010,679,829.8
135,V160,1171,1474,1220,1397,1079,1268.2
136,V161,228,247,289,396,402,312.4
137,V162,405,382,385,415,375,392.4
138,V163,237,222,238,295,247,247.8
139,V164,731,1025,787,1170,779,898.4
140,V165,679,902,577,995,619,754.4
141,V166,682,877,518,900,537,702.8
142,V167,1362,1677,1227,1584,1130,1396.0
143,V169,1163,1261,1028,861,932,1049.0
144,V170,1607,1831,1424,1623,1401,1577.2
145,V171,1445,1744,1256,1563,1183,1438.2
146,V172,366,474,570,549,389,469.6
147,V173,139,194,226,237,180,195.2
148,V175,686,685,518,790,527,641.2
149,V176,1359,1768,1113,1281,977,1299.6
150,V177,912,1174,838,1105,740,953.8
151,V178,1387,1474,1211,1342,1172,1317.2
152,V180,415,681,405,611,351,492.6
153,V182,443,463,301,448,277,386.4
154,V184,337,414,259,325,214,309.8
155,V187,1250,1566,1141,1379,1045,1276.2
156,V188,722,787,544,714,565,666.4
157,V189,963,965,759,823,641,830.2
158,V195,273,358,209,206,155,240.2
159,V197,175,335,228,252,146,227.2
160,V200,944,1088,643,985,746,881.2
161,V201,763,862,718,813,646,760.4
162,V202,617,842,617,852,605,706.6
163,V203,1251,1631,951,1447,978,1251.6
164,V204,718,790,675,887,619,737.8
165,V205,985,1180,971,1195,901,1046.4
166,V206,1166,1293,1136,1379,1048,1204.4
167,V207,1157,1491,902,1362,853,1153.0
168,V208,1173,1197,1020,1115,902,1081.4
169,V209,1442,1651,1125,1361,1028,1321.4
170,V210,706,1024,696,899,743,813.6
171,V212,1192,1363,1055,1359,977,1189.2
172,V213,1115,1215,878,1216,842,1053.2
173,V214,690,1092,832,887,650,830.2
174,V215,1191,1368,1088,1424,913,1196.8
175,V216,882,1128,793,996,741,908.0
176,V217,2227,2464,1683,2402,1669,2089.0
177,V219,1988,2213,1566,1953,1523,1848.6
178,V220,1288,1480,991,1383,859,1200.2
179,V221,2139,2389,1665,2102,1429,1944.8
180,V222,2040,2415,1677,2037,1634,1960.6
181,V223,645,661,606,640,509,612.2
182,V224,1163,1166,914,1139,759,1028.2
183,V225,545,654,456,566,420,528.2
184,V226,557,728,475,668,459,577.4
185,V227,418,522,322,418,401,416.2
186,V228,1563,1681,1149,1568,1190,1430.2
187,V229,1863,2261,1495,2137,1467,1844.6
188,V231,782,964,717,804,742,801.8
189,V233,1208,1327,868,1179,915,1099.4
190,V234,1078,1537,1055,1300,745,1143.0
191,V238,377,414,307,459,172,345.8
192,V239,421,470,418,509,242,412.0
193,V242,861,843,635,800,531,734.0
194,V243,1098,1299,909,1133,790,1045.8
195,V244,759,739,501,840,442,656.2
196,V245,864,928,599,915,712,803.6
197,V246,663,722,484,741,394,600.8
198,V247,286,370,187,228,162,246.6
199,V249,470,564,380,456,274,428.8
200,V251,443,656,370,600,475,508.8
201,V253,719,992,709,946,606,794.4
202,V256,296,384,307,425,337,349.8
203,V257,750,899,589,772,534,708.8
204,V258,970,1162,797,1208,682,963.8
205,V259,1076,1222,739,1105,789,986.2
206,V261,1812,1694,1553,1922,1481,1692.4
207,V262,1075,1027,908,1156,752,983.6
208,V263,937,889,641,825,622,782.8
209,V264,1151,1425,924,1150,884,1106.8
210,V265,1017,1092,772,1042,704,925.4
211,V266,822,1029,870,960,810,898.2
212,V267,1640,1862,1325,1935,1416,1635.6
213,V268,1090,1077,948,1160,870,1029.0
214,V270,1065,1292,969,1259,826,1082.2
215,V271,1167,1277,978,1183,831,1087.2
216,V272,987,1017,834,1079,656,914.6
217,V273,820,952,708,953,663,819.2
218,V274,1884,1806,1319,1809,1171,1597.8
219,V275,1011,1188,783,1128,703,962.6
220,V276,787,946,653,777,599,752.4
221,V277,1555,1748,1221,1793,1288,1521.0
222,V278,1076,1028,657,1056,819,927.2
223,V279,2637,2758,2039,2408,2050,2378.4
224,V280,2649,2649,1898,2459,1930,2317.0
225,V282,4048,4765,3135,3278,3216,3688.4
226,V283,4097,4085,3298,3071,2985,3507.2
227,V285,2943,3064,2349,3290,2166,2762.4
228,V287,1639,1712,1226,1482,1258,1463.4
229,V288,1958,2022,1247,1372,1338,1587.4
230,V289,2839,3004,2407,2239,2275,2552.8
231,V291,3193,4020,2942,4233,2820,3441.6
232,V292,3268,3412,2473,3117,2500,2954.0
233,V294,2920,2666,1961,2630,1962,2427.8
234,V303,1028,1083,825,943,741,924.0
235,V304,482,501,313,480,325,420.2
236,V306,2798,2918,2192,2898,2153,2591.8
237,V307,1356,1210,1048,1342,1049,1201.0
238,V308,1682,1800,1340,1691,1254,1553.4
239,V310,2132,2183,1699,2183,1757,1990.8
240,V312,2159,2548,2246,2075,1999,2205.4
241,V313,3787,3708,3053,3014,2791,3270.6
242,V314,3595,3863,2364,3049,2314,3037.0
243,V315,2471,2848,2054,2141,1859,2274.6
244,V317,2952,3162,2171,2998,2104,2677.4
245,V322,509,739,408,574,459,537.8
246,V323,1032,1071,966,1180,834,1016.6
247,V324,683,739,521,737,571,650.2
248,V326,353,474,407,456,372,412.4
249,V329,302,369,236,391,219,303.4
250,V331,459,613,396,596,384,489.6
251,V332,942,995,782,944,924,917.4
252,V333,528,586,438,632,447,526.2
253,V335,536,676,465,744,519,588.0
254,V336,476,615,366,600,381,487.6
255,V338,952,1153,854,1037,793,957.8
256,id_01,0,0,0,0,0,0.0
257,id_02,0,0,0,0,0,0.0
258,id_03,0,0,0,0,0,0.0
259,id_05,0,0,0,0,0,0.0
260,id_06,0,0,0,0,0,0.0
261,id_09,0,0,0,0,0,0.0
262,id_11,0,0,0,0,0,0.0
263,id_12,0,0,0,0,0,0.0
264,id_13,0,0,0,0,0,0.0
265,id_14,0,0,0,0,0,0.0
266,id_15,0,0,0,0,0,0.0
267,id_17,0,0,0,0,0,0.0
268,id_19,0,0,0,0,0,0.0
269,id_20,0,0,0,0,0,0.0
270,id_30,0,0,0,0,0,0.0
271,id_31,0,0,0,0,0,0.0
272,id_32,0,0,0,0,0,0.0
273,id_33,0,0,0,0,0,0.0
274,id_36,0,0,0,0,0,0.0
275,id_37,0,0,0,0,0,0.0
276,id_38,0,0,0,0,0,0.0
277,DeviceType,0,0,0,0,0,0.0
278,DeviceInfo,0,0,0,0,0,0.0
279,device_name,0,0,0,0,0,0.0
280,device_version,0,0,0,0,0,0.0
281,OS_id_30,0,0,0,0,0,0.0
282,version_id_30,0,0,0,0,0,0.0
283,browser_id_31,0,0,0,0,0,0.0
284,version_id_31,0,0,0,0,0,0.0
285,screen_width,0,0,0,0,0,0.0
286,screen_height,0,0,0,0,0,0.0
287,had_id,0,0,0,0,0,0.0
288,is_apple,0,0,0,0,0,0.0
289,sus_email,1448,1580,1283,1590,1223,1424.8
290,sum_C,21576,21476,15738,21649,15318,19151.4
291,sum_D,0,0,0,0,0,0.0
292,sum_M,5248,5129,3915,5044,3445,4556.2
293,mean_addr,4729,5125,4075,5301,3820,4610.0
